 -0.037,0.001,0.975,15.75,18.96,45.69
 -0.083,0.029,1.021,5.26,19.42,39.62
 -0.094,0.010,0.985,2.33,17.39,43.73
 -0.125,0.039,0.966,-9.89,14.78,74.77
 -0.474,0.106,1.442,-2.84,78.76,-8.20
 -0.152,-0.013,1.000,-9.76,19.39,17.49
 -0.172,0.016,0.969,19.60,25.04,1.73
 -0.207,0.007,0.964,6.43,10.06,13.81
 -0.194,0.036,0.996,-0.77,1.46,10.73
 -0.192,0.032,0.986,1.21,4.43,4.59
 -0.187,0.025,0.976,-2.27,-5.50,-10.47
 -0.162,0.002,0.990,1.69,-2.08,-27.63
 -0.187,0.033,0.967,4.15,-16.25,-43.92
 -0.135,-0.010,0.999,12.02,-20.62,-61.09
 -0.143,0.001,0.980,2.83,-21.64,-64.86
 -0.144,0.020,0.977,11.62,-9.42,-63.37
 -0.134,0.052,1.031,16.16,-2.00,-55.16
 -0.158,0.052,0.998,29.48,16.09,-96.61
 -0.197,0.073,1.005,23.49,25.03,-79.39
 -0.251,0.043,0.977,29.03,24.85,-80.78
 -0.419,0.039,0.750,-45.43,39.77,-110.98
 -0.065,-0.133,1.047,-61.10,35.74,-98.27
 -0.258,-0.116,0.933,-21.32,-1.43,-68.42
 -0.231,-0.141,1.012,-17.05,13.98,-65.80
 -0.268,-0.118,0.981,-0.68,7.34,-71.18
 -0.217,-0.105,0.829,39.95,-49.50,-34.22
 -0.199,-0.101,0.989,34.84,-65.01,-15.09
 -0.186,-0.047,1.082,48.84,-18.63,-46.85
 -0.107,0.003,0.940,50.09,15.54,-83.26
 -0.190,0.033,0.990,31.29,19.96,-96.10
 -0.153,-0.025,1.021,24.19,-6.32,-90.64
 -0.220,-0.029,0.943,14.42,-28.14,-105.63
 -0.200,0.025,1.021,13.93,-10.87,-81.57
 -0.165,0.039,0.992,17.60,-37.89,-48.81
 -0.100,0.003,0.962,11.98,-18.67,-31.04
 -0.113,0.049,0.997,5.85,0.53,-16.59
 -0.102,0.039,0.996,1.91,-7.28,0.58
 -0.085,0.029,0.984,3.50,-4.56,-2.08
 -0.103,0.048,1.012,1.93,1.60,-9.74
 -0.086,0.032,0.990,0.22,-4.69,-15.53
 -0.098,0.050,0.998,7.16,-0.93,-20.18
 -0.086,0.024,0.974,8.11,-3.71,-12.87
 -0.089,0.067,1.006,4.77,-7.54,-12.72
 -0.070,0.053,0.977,1.75,-12.71,-8.07
 -0.053,0.059,0.997,0.02,-11.54,-2.77
 -0.047,0.025,0.989,-0.21,-13.26,4.50
 -0.041,0.052,0.997,-2.24,-9.50,-0.08
 -0.017,0.043,0.993,0.09,-4.61,-0.36
 -0.035,0.053,0.985,2.38,-2.81,0.28
 -0.037,0.053,0.997,-0.84,-2.66,-0.72
 -0.016,0.048,0.985,1.02,-1.73,1.15
 -0.022,0.060,0.999,1.39,0.11,-1.65
